Feature,Coefficient,AbsCoefficient
cat__MSZoning_Rare,-0.09336179309580095,0.09336179309580095
cat__Neighborhood_Crawfor,0.07568953752505544,0.07568953752505544
num__GrLivArea,0.06332411699171218,0.06332411699171218
cat__Functional_Typ,0.05624037911224242,0.05624037911224242
num__2ndFlrSF,0.052145050557501786,0.052145050557501786
cat__Neighborhood_StoneBr,0.05027610315134417,0.05027610315134417
num__1stFlrSF,0.05015921051565635,0.05015921051565635
cat__Exterior1st_BrkFace,0.049993497583074836,0.049993497583074836
num__OverallCond,0.04877992880959297,0.04877992880959297
cat__Functional_Rare,-0.04865194035262948,0.04865194035262948
cat__SaleCondition_Abnorml,-0.040846342619252955,0.040846342619252955
cat__Neighborhood_Edwards,-0.03911812979525139,0.03911812979525139
num__LotArea,0.039078500749280674,0.039078500749280674
cat__Neighborhood_IDOTRR,-0.037224935834850245,0.037224935834850245
cat__MSZoning_FV,0.03666895363849231,0.03666895363849231
cat__Condition1_Norm,0.03626692100257077,0.03626692100257077
cat__KitchenQual_Ex,0.035909400048630725,0.035909400048630725
num__TotalBsmtSF,0.03443833330300707,0.03443833330300707
cat__MSZoning_RL,0.031725754423085804,0.031725754423085804
cat__Neighborhood_BrkSide,0.03120215270817849,0.03120215270817849
cat__SaleCondition_Normal,0.03062129225269071,0.03062129225269071
cat__Neighborhood_Mitchel,-0.03037522893850475,0.03037522893850475
cat__SaleType_New,0.030234941366086388,0.030234941366086388
cat__BsmtExposure_Gd,0.029852811072886155,0.029852811072886155
num__OverallQual_Squared,0.02792886334793448,0.02792886334793448
num__BsmtFinSF1,0.027770713314163233,0.027770713314163233
cat__Neighborhood_MeadowV,-0.027617888876187293,0.027617888876187293
cat__Neighborhood_NWAmes,-0.02756127927272516,0.02756127927272516
cat__Condition1_Artery,-0.026564273701411324,0.026564273701411324
cat__SaleType_WD,-0.026498172118827486,0.026498172118827486
num__HouseAge,-0.026402126115888075,0.026402126115888075
num__YearBuilt,0.02630001101311125,0.02630001101311125
cat__Neighborhood_Somerst,0.0256785130936251,0.0256785130936251
cat__Heating_Rare,-0.025094732796767574,0.025094732796767574
cat__Exterior1st_Wd Sdng,-0.025068734101706795,0.025068734101706795
cat__Condition1_Rare,-0.02482563989662041,0.02482563989662041
cat__MSZoning_RH,0.024318094597556145,0.024318094597556145
cat__CentralAir_N,-0.024164841697697836,0.024164841697697836
cat__CentralAir_Y,0.024164841697696744,0.024164841697696744
cat__LotConfig_CulDSac,0.02398592224421124,0.02398592224421124
num__Qual_LivingArea,0.023626742304808563,0.023626742304808563
cat__Neighborhood_OldTown,-0.02270412883339681,0.02270412883339681
cat__GarageType_Rare,-0.0223771896258514,0.0223771896258514
num__OverallQual,0.021730925215825536,0.021730925215825536
